iter	Passed	Remaining
0	137	137202
1	138	69165
2	139	46479
3	141	35145
4	142	28322
5	145	24052
6	146	20784
7	147	18322
8	148	16401
9	150	14867
10	151	13609
11	152	12564
12	153	11678
13	155	10932
14	156	10273
15	159	9790
16	160	9290
17	161	8835
18	163	8426
19	164	8081
20	166	7774
21	168	7480
22	169	7201
23	170	6950
24	173	6761
25	174	6543
26	175	6337
27	177	6147
28	178	5975
29	179	5817
30	181	5665
31	182	5521
32	183	5384
33	185	5263
34	186	5154
35	188	5040
36	189	4930
37	190	4832
38	192	4734
39	193	4640
40	194	4550
41	195	4465
42	197	4384
43	198	4312
44	200	4262
45	202	4190
46	203	4122
47	204	4057
48	205	3994
49	207	3934
50	208	3876
51	209	3819
52	210	3765
53	212	3716
54	214	3687
55	215	3638
56	217	3594
57	218	3549
58	219	3505
59	220	3461
60	222	3419
61	223	3379
62	224	3340
63	225	3304
64	228	3287
65	229	3253
66	231	3218
67	232	3185
68	233	3152
69	234	3119
70	235	3087
71	237	3057
72	238	3027
73	239	2998
74	240	2970
75	243	2962
76	245	2937
77	246	2911
78	247	2885
79	248	2861
80	250	2843
81	251	2820
82	252	2790
83	253	2767
84	254	2744
85	257	2737
86	258	2717
87	260	2696
88	261	2676
89	262	2655
90	263	2636
91	265	2617
92	266	2598
93	267	2579
94	268	2561
95	270	2543
96	272	2536
97	273	2519
98	274	2502
99	276	2485
100	277	2469
101	278	2453
102	279	2436
103	281	2421
104	282	2406
105	283	2392
106	286	2390
107	288	2379
108	289	2364
109	290	2351
110	291	2337
111	293	2324
112	294	2310
113	295	2296
114	296	2283
115	297	2270
116	298	2255
117	301	2255
118	303	2243
119	304	2231
120	305	2219
121	306	2206
122	307	2194
123	308	2182
124	310	2170
125	311	2159
126	312	2146
127	313	2135
128	316	2134
129	317	2124
130	318	2115
131	320	2105
132	321	2094
133	322	2084
134	323	2074
135	324	2064
136	326	2054
137	327	2044
138	328	2035
139	331	2036
140	332	2027
141	333	2016
142	334	2007
143	336	1998
144	337	1991
145	339	1983
146	340	1974
147	341	1965
148	342	1956
149	345	1955
150	346	1948
151	347	1940
152	349	1932
153	350	1923
154	351	1916
155	352	1908
156	354	1900
157	355	1892
158	356	1884
159	357	1877
160	359	1875
161	361	1868
162	362	1860
163	363	1853
164	365	1847
165	366	1842
166	368	1839
167	370	1832
168	371	1826
169	373	1822
170	374	1817
171	376	1811
172	377	1805
173	378	1798
174	380	1791
175	381	1784
176	382	1778
177	383	1771
178	384	1764
179	385	1758
180	388	1759
181	390	1753
182	391	1747
183	392	1741
184	393	1735
185	395	1728
186	396	1722
187	397	1716
188	398	1711
189	400	1706
190	403	1707
191	404	1703
192	406	1699
193	407	1694
194	409	1689
195	410	1683
196	411	1677
197	412	1672
198	413	1666
199	415	1660
200	417	1660
201	419	1657
202	420	1652
203	422	1646
204	423	1641
205	424	1636
206	425	1630
207	426	1625
208	428	1620
209	429	1615
210	430	1609
211	433	1610
212	434	1606
213	436	1601
214	437	1596
215	439	1593
216	440	1590
217	441	1585
218	443	1580
219	444	1575
220	445	1570
221	448	1570
222	449	1565
223	450	1560
224	451	1555
225	452	1551
226	454	1546
227	455	1542
228	456	1537
229	457	1532
230	458	1527
231	460	1524
232	462	1523
233	464	1519
234	465	1514
235	466	1510
236	467	1506
237	469	1501
238	470	1497
239	471	1492
240	472	1488
241	473	1484
242	476	1484
243	477	1480
244	478	1476
245	480	1471
246	481	1467
247	482	1463
248	483	1459
249	484	1454
250	486	1450
251	487	1446
252	488	1442
253	490	1441
254	492	1437
255	493	1433
256	495	1431
257	496	1428
258	497	1424
259	499	1420
260	500	1416
261	501	1412
262	502	1408
263	503	1404
264	506	1405
265	508	1402
266	509	1400
267	511	1396
268	512	1393
269	514	1390
270	515	1386
271	517	1383
272	518	1381
273	520	1380
274	522	1376
275	523	1373
276	524	1370
277	526	1366
278	527	1363
279	528	1360
280	530	1356
281	531	1353
282	534	1353
283	535	1350
284	536	1346
285	538	1343
286	539	1340
287	540	1337
288	542	1334
289	543	1330
290	544	1327
291	547	1326
292	551	1329
293	552	1327
294	554	1324
295	555	1321
296	556	1318
297	558	1314
298	559	1311
299	560	1308
300	562	1305
301	566	1309
302	568	1307
303	569	1304
304	571	1303
305	573	1299
306	574	1297
307	575	1293
308	577	1290
309	581	1295
310	583	1292
311	584	1288
312	585	1285
313	586	1282
314	588	1279
315	589	1275
316	590	1272
317	591	1269
318	594	1270
319	597	1268
320	598	1265
321	599	1262
322	600	1259
323	602	1256
324	603	1253
325	604	1250
326	606	1247
327	607	1244
328	610	1245
329	612	1242
330	613	1239
331	614	1236
332	615	1233
333	617	1230
334	618	1228
335	620	1226
336	621	1223
337	625	1224
338	626	1221
339	627	1218
340	629	1216
341	630	1213
342	631	1210
343	633	1207
344	634	1204
345	635	1201
346	636	1198
347	639	1198
348	641	1195
349	642	1192
350	643	1190
351	645	1187
352	646	1184
353	647	1181
354	648	1178
355	649	1175
356	651	1172
357	654	1173
358	655	1171
359	657	1168
360	658	1165
361	659	1162
362	661	1160
363	663	1158
364	664	1155
365	665	1152
366	668	1152
367	670	1151
368	671	1148
369	673	1146
370	674	1143
371	675	1140
372	677	1138
373	678	1135
374	679	1132
375	680	1130
376	683	1130
377	685	1127
378	686	1124
379	687	1122
380	688	1119
381	690	1116
382	691	1113
383	692	1111
384	693	1108
385	695	1105
386	698	1106
387	699	1103
388	700	1100
389	701	1097
390	703	1095
391	704	1092
392	705	1089
393	706	1087
394	708	1084
395	709	1081
396	710	1079
397	713	1078
398	714	1076
399	715	1073
400	717	1071
401	719	1070
402	721	1069
403	723	1066
404	724	1064
405	726	1063
406	728	1061
407	729	1058
408	730	1055
409	731	1053
410	733	1050
411	734	1048
412	735	1045
413	737	1043
414	738	1040
415	739	1037
416	741	1037
417	743	1034
418	744	1032
419	745	1029
420	746	1027
421	748	1024
422	749	1021
423	750	1019
424	751	1016
425	752	1014
426	753	1011
427	756	1010
428	757	1008
429	758	1005
430	760	1003
431	761	1001
432	762	998
433	763	996
434	765	993
435	766	991
436	767	988
437	768	986
438	771	985
439	772	983
440	773	980
441	775	978
442	776	976
443	777	973
444	778	971
445	779	968
446	781	966
447	782	963
448	783	961
449	785	960
450	787	958
451	788	956
452	789	953
453	791	951
454	792	948
455	793	946
456	794	944
457	795	941
458	797	939
459	798	937
460	800	936
461	802	934
462	803	932
463	805	930
464	806	928
465	808	926
466	809	923
467	810	921
468	811	919
469	814	918
470	816	916
471	817	914
472	818	911
473	819	909
474	820	907
475	821	904
476	823	902
477	824	900
478	825	897
479	826	895
480	829	895
481	830	893
482	832	890
483	833	888
484	834	886
485	835	883
486	836	881
487	838	879
488	839	877
489	840	874
490	841	872
491	844	871
492	845	869
493	846	867
494	848	865
495	849	862
496	850	860
497	851	858
498	853	856
499	854	854
500	855	852
501	857	850
502	859	849
503	860	847
504	862	845
505	863	842
506	864	840
507	865	838
508	866	836
509	868	834
510	869	831
511	870	829
512	872	828
513	873	826
514	875	824
515	876	822
516	877	819
517	879	817
518	880	815
519	881	813
520	882	811
521	883	809
522	884	807
523	887	806
524	889	804
525	890	802
526	892	800
527	893	798
528	895	797
529	896	795
530	898	793
531	899	791
532	903	791
533	905	790
534	906	788
535	908	786
536	910	784
537	911	782
538	912	780
539	913	778
540	914	776
541	917	775
542	919	773
543	920	771
544	921	769
545	922	767
546	924	765
547	925	763
548	926	761
549	927	759
550	929	757
551	930	754
552	932	753
553	933	751
554	935	749
555	936	747
556	937	745
557	938	743
558	940	741
559	941	739
560	942	737
561	943	735
562	944	733
563	947	732
564	948	730
565	949	728
566	951	726
567	952	724
568	953	722
569	954	720
570	955	718
571	957	716
572	958	714
573	959	712
574	962	711
575	963	709
576	964	707
577	965	705
578	967	703
579	968	701
580	969	699
581	970	697
582	971	695
583	973	693
584	975	692
585	977	690
586	1023	720
587	1026	719
588	1028	717
589	1030	716
590	1032	714
591	1034	712
592	1036	711
593	1039	710
594	1041	708
595	1043	707
596	1057	714
597	1061	713
598	1063	711
599	1065	710
600	1066	708
601	1084	717
602	1088	716
603	1090	715
604	1092	713
605	1094	711
606	1097	710
607	1099	708
608	1100	706
609	1103	705
610	1105	703
611	1107	701
612	1109	700
613	1110	698
614	1112	696
615	1116	695
616	1127	699
617	1129	697
618	1134	698
619	1136	696
620	1138	695
621	1141	693
622	1144	692
623	1145	690
624	1166	699
625	1167	697
626	1169	696
627	1171	694
628	1173	692
629	1175	690
630	1176	688
631	1179	686
632	1181	685
633	1184	683
634	1186	681
635	1190	681
636	1192	679
637	1195	678
638	1197	676
639	1199	674
640	1201	673
641	1203	671
642	1206	670
643	1208	668
644	1210	666
645	1211	663
646	1212	661
647	1213	659
648	1215	657
649	1216	654
650	1217	652
651	1220	651
652	1222	649
653	1223	647
654	1224	645
655	1226	643
656	1227	641
657	1229	638
658	1230	636
659	1232	634
660	1235	633
661	1237	631
662	1238	629
663	1240	627
664	1243	626
665	1245	624
666	1247	622
667	1250	621
668	1251	619
669	1252	617
670	1253	614
671	1255	612
672	1256	610
673	1257	608
674	1258	606
675	1259	603
676	1261	601
677	1262	599
678	1265	598
679	1266	596
680	1268	594
681	1269	591
682	1270	589
683	1272	587
684	1273	585
685	1274	583
686	1276	581
687	1277	579
688	1280	577
689	1281	575
690	1282	573
691	1283	571
692	1285	569
693	1286	567
694	1287	565
695	1288	563
696	1290	560
697	1291	558
698	1293	557
699	1295	555
700	1296	552
701	1297	550
702	1298	548
703	1300	546
704	1301	544
705	1302	542
706	1303	540
707	1304	538
708	1306	536
709	1309	534
710	1310	532
711	1311	530
712	1312	528
713	1314	526
714	1315	524
715	1316	522
716	1317	520
717	1319	518
718	1320	515
719	1321	513
720	1324	512
721	1325	510
722	1326	508
723	1327	506
724	1328	504
725	1330	502
726	1331	499
727	1332	497
728	1333	495
729	1335	493
730	1336	491
731	1338	490
732	1339	488
733	1341	485
734	1342	484
735	1343	481
736	1344	479
737	1346	477
738	1347	475
739	1348	473
740	1349	471
741	1352	470
742	1353	468
743	1354	466
744	1356	464
745	1357	462
746	1358	460
747	1360	458
748	1361	456
749	1362	454
750	1363	452
751	1365	450
752	1367	448
753	1369	446
754	1370	444
755	1371	442
756	1372	440
757	1374	438
758	1375	436
759	1377	434
760	1378	432
761	1379	430
762	1382	429
763	1383	427
764	1384	425
765	1386	423
766	1387	421
767	1388	419
768	1389	417
769	1390	415
770	1392	413
771	1393	411
772	1394	409
773	1397	407
774	1398	406
775	1399	404
776	1400	402
777	1402	400
778	1403	398
779	1404	396
780	1405	394
781	1406	392
782	1408	390
783	1409	388
784	1411	386
785	1412	384
786	1413	382
787	1414	380
788	1416	378
789	1417	376
790	1418	374
791	1419	372
792	1420	370
793	1421	368
794	1423	367
795	1425	365
796	1426	363
797	1427	361
798	1429	359
799	1430	357
800	1431	355
801	1432	353
802	1434	351
803	1435	349
804	1436	347
805	1437	346
806	1440	344
807	1441	342
808	1443	340
809	1444	338
810	1445	336
811	1446	334
812	1447	333
813	1449	331
814	1450	329
815	1451	327
816	1454	325
817	1455	323
818	1457	322
819	1458	320
820	1459	318
821	1460	316
822	1462	314
823	1463	312
824	1464	310
825	1465	308
826	1466	306
827	1469	305
828	1470	303
829	1472	301
830	1473	299
831	1474	297
832	1476	295
833	1477	294
834	1478	292
835	1480	290
836	1481	288
837	1484	286
838	1485	285
839	1486	283
840	1488	281
841	1489	279
842	1491	277
843	1492	275
844	1493	274
845	1495	272
846	1496	270
847	1499	268
848	1500	266
849	1501	264
850	1502	263
851	1503	261
852	1505	259
853	1506	257
854	1507	255
855	1508	253
856	1509	251
857	1511	250
858	1513	248
859	1514	246
860	1515	244
861	1516	242
862	1518	241
863	1519	239
864	1520	237
865	1521	235
866	1522	233
867	1524	231
868	1526	230
869	1528	228
870	1529	226
871	1531	224
872	1532	222
873	1533	221
874	1534	219
875	1536	217
876	1537	215
877	1538	213
878	1541	212
879	1542	210
880	1544	208
881	1545	206
882	1546	204
883	1547	203
884	1548	201
885	1550	199
886	1551	197
887	1552	195
888	1553	193
889	1556	192
890	1557	190
891	1558	188
892	1560	186
893	1561	185
894	1562	183
895	1564	181
896	1565	179
897	1566	177
898	1567	176
899	1570	174
900	1572	172
901	1573	170
902	1574	169
903	1575	167
904	1577	165
905	1578	163
906	1579	161
907	1580	160
908	1581	158
909	1583	156
910	1586	154
911	1587	153
912	1588	151
913	1589	149
914	1590	147
915	1592	146
916	1593	144
917	1594	142
918	1595	140
919	1596	138
920	1598	137
921	1600	135
922	1601	133
923	1602	131
924	1604	130
925	1605	128
926	1606	126
927	1607	124
928	1609	122
929	1610	121
930	1611	119
931	1612	117
932	1615	116
933	1616	114
934	1618	112
935	1619	110
936	1621	109
937	1622	107
938	1624	105
939	1625	103
940	1626	101
941	1627	100
942	1630	98
943	1631	96
944	1633	95
945	1634	93
946	1635	91
947	1636	89
948	1638	88
949	1639	86
950	1640	84
951	1641	82
952	1644	81
953	1645	79
954	1647	77
955	1648	75
956	1649	74
957	1650	72
958	1651	70
959	1652	68
960	1654	67
961	1655	65
962	1656	63
963	1659	61
964	1660	60
965	1662	58
966	1663	56
967	1664	55
968	1666	53
969	1667	51
970	1668	49
971	1669	48
972	1671	46
973	1674	44
974	1675	42
975	1676	41
976	1677	39
977	1679	37
978	1680	36
979	1681	34
980	1682	32
981	1683	30
982	1685	29
983	1686	27
984	1689	25
985	1690	24
986	1691	22
987	1692	20
988	1694	18
989	1695	17
990	1696	15
991	1697	13
992	1698	11
993	1699	10
994	1701	8
995	1703	6
996	1705	5
997	1706	3
998	1707	1
999	1708	0
